,Log,CleanLog,Cluster,Template,Variables,EventId
33,Notification time out: 6400,Notification time out,17,Notification time out: <*>,['6400'],E67
34,Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['2', '10', '10', '34', '12', '3888']",E24
35,Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['3', '10', '10', '34', '13', '3888']",E24
36,Notification time out: 12800,Notification time out,17,Notification time out: <*>,['12800'],E67
37,Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['2', '10', '10', '34', '12', '3888']",E24
38,Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['3', '10', '10', '34', '13', '3888']",E24
39,Notification time out: 25600,Notification time out,17,Notification time out: <*>,['25600'],E67
40,Received connection request /10.10.34.12:47478,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '12', '47478']",E59
41,"Notification: 2 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 2 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)",Notification n leader n zxid n round LOOKING n state n sid n peerEPoch LOOKING my state,15,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)","['2', '0x0', '0x1', '2', '0x0']",E4
42,"Notification: 2 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 1 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)",Notification n leader n zxid n round LOOKING n state n sid n peerEPoch LOOKING my state,15,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)","['2', '0x0', '0x1', '1', '0x0']",E4
43,Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to at election address,16,Cannot open channel to <*> at election address /<*>.<*>.<*>.<*>:<*>,"['3', '10', '10', '34', '13', '3888']",E24
44,FOLLOWING,FOLLOWING,19,FOLLOWING,[],E86
45,TCP NoDelay set to: true,TCP NoDelay set to true,20,TCP NoDelay set to: true,[],E73
46,"Server environment:zookeeper.version=3.4.5--1, built on 06/10/2013 17:26 GMT",Server environment zookeeper version built on GMT,21,"Server environment:zookeeper.version=<*>.<*>.<*>--<*>, built on <*>/<*>/<*> <*>:<*> GMT","['3', '4', '5', '1', '06', '10', '2013', '17', '26']",E19
47,Server environment:host.name=node1,Server environment host name,22,Server environment:host.name=<*>,['node1'],E41
48,Server environment:java.version=1.7.0_79,Server environment java version,23,Server environment:java.version=<*>.<*>.<*>,"['1', '7', '0_79']",E34
49,Server environment:java.vendor=Oracle Corporation,Server environment java vendor Oracle Corporation,24,Server environment:java.vendor=Oracle Corporation,[],E36
50,Server environment:java.home=/usr/lib/jvm/java-7-openjdk-amd64/jre,Server environment java home usr lib jvm java openjdk jre,25,Server environment:java.home=/usr/lib/jvm/java-<*>-openjdk-<*>/jre,"['7', 'amd64']",E43
51,Server environment:java.class.path=/etc/zookeeper/conf:/usr/share/java/jline.jar:/usr/share/java/log4j-1.2.jar:/usr/share/java/xercesImpl.jar:/usr/share/java/xmlParserAPIs.jar:/usr/share/java/netty.jar:/usr/share/java/slf4j-api.jar:/usr/share/java/slf4j-log4j12.jar:/usr/share/java/zookeeper.jar,Server environment java class path etc zookeeper conf usr share java jline jar usr share java jar usr share java xercesImpl jar usr share java xmlParserAPIs jar usr share java netty jar usr share java api jar usr share java jar usr share java zookeeper jar,26,Server environment:java.class.path=/etc/zookeeper/conf:/usr/share/java/jline.jar:/usr/share/java/<*>-<*>.<*>.jar:/usr/share/java/xercesImpl.jar:/usr/share/java/xmlParserAPIs.jar:/usr/share/java/netty.jar:/usr/share/java/<*>-api.jar:/usr/share/java/<*>-<*>.jar:/usr/share/java/zookeeper.jar,"['log4j', '1', '2', 'slf4j', 'slf4j', 'log4j12']",E27
52,Server environment:java.io.tmpdir=/tmp,Server environment java io tmpdir tmp,27,Server environment:java.io.tmpdir=/tmp,[],E29
53,Server environment:java.compiler=<NA>,Server environment java compiler NA,28,Server environment:java.compiler=<NA>,[],E30
54,Server environment:os.name=Linux,Server environment os name Linux,29,Server environment:os.name=Linux,[],E54
55,Server environment:os.arch=amd64,Server environment os arch,30,Server environment:os.arch=<*>,['amd64'],E53
56,Server environment:os.version=3.16.0-30-generic,Server environment os version generic,31,Server environment:os.version=<*>.<*>.<*>-<*>-generic,"['3', '16', '0', '30']",E38
57,Server environment:user.name=zookeeper,Server environment user name zookeeper,32,Server environment:user.name=zookeeper,[],E40
58,Server environment:user.home=/var/lib/zookeeper,Server environment user home var lib zookeeper,33,Server environment:user.home=/var/lib/zookeeper,[],E42
59,Server environment:user.dir=/,Server environment user dir,34,Server environment:user.dir=/,[],E49
60,Created server with tickTime 2000 minSessionTimeout 4000 maxSessionTimeout 40000 datadir /var/lib/zookeeper/version-2 snapdir /var/lib/zookeeper/version-2,Created server with tickTime minSessionTimeout maxSessionTimeout datadir var lib zookeeper version snapdir var lib zookeeper version,35,Created server with tickTime <*> minSessionTimeout <*> maxSessionTimeout <*> datadir /var/lib/zookeeper/version-<*> snapdir /var/lib/zookeeper/version-<*>,"['2000', '4000', '40000', '2', '2']",E9
61,FOLLOWING - LEADER ELECTION TOOK - 46837,FOLLOWING LEADER ELECTION TOOK,36,FOLLOWING - LEADER ELECTION TOOK - <*>,['46837'],E39
62,Getting a diff from the leader 0x0,Getting a diff from the leader,37,Getting a diff from the leader <*>,['0x0'],E58
63,Snapshotting: 0x0 to /var/lib/zookeeper/version-2/snapshot.0,Snapshotting to var lib zookeeper version snapshot,38,Snapshotting: <*> to /var/lib/zookeeper/version-<*>/snapshot.<*>,"['0x0', '2', '0']",E75
64,Snapshotting: 0x0 to /var/lib/zookeeper/version-2/snapshot.0,Snapshotting to var lib zookeeper version snapshot,38,Snapshotting: <*> to /var/lib/zookeeper/version-<*>/snapshot.<*>,"['0x0', '2', '0']",E75
65,Received connection request /10.10.34.13:57684,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '13', '57684']",E59
66,"Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), FOLLOWING (my state)",Notification n leader n zxid n round LOOKING n state n sid n peerEPoch FOLLOWING my state,15,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)","['3', '0x0', '0x1', '3', '0x0']",E4
67,"Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), FOLLOWING (my state)",Notification n leader n zxid n round LOOKING n state n sid n peerEPoch FOLLOWING my state,15,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)","['3', '0x0', '0x1', '3', '0x0']",E4
68,"Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), FOLLOWING (my state)",Notification n leader n zxid n round LOOKING n state n sid n peerEPoch FOLLOWING my state,15,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)","['3', '0x0', '0x1', '3', '0x0']",E4
69,"Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), FOLLOWING (my state)",Notification n leader n zxid n round LOOKING n state n sid n peerEPoch FOLLOWING my state,15,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)","['3', '0x0', '0x1', '3', '0x0']",E4
70,"Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), FOLLOWING (my state)",Notification n leader n zxid n round LOOKING n state n sid n peerEPoch FOLLOWING my state,15,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)","['3', '0x0', '0x1', '3', '0x0']",E4
71,"Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), FOLLOWING (my state)",Notification n leader n zxid n round LOOKING n state n sid n peerEPoch FOLLOWING my state,15,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)","['3', '0x0', '0x1', '3', '0x0']",E4
72,"Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), FOLLOWING (my state)",Notification n leader n zxid n round LOOKING n state n sid n peerEPoch FOLLOWING my state,15,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)","['3', '0x0', '0x1', '3', '0x0']",E4
73,"Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), FOLLOWING (my state)",Notification n leader n zxid n round LOOKING n state n sid n peerEPoch FOLLOWING my state,15,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)","['3', '0x0', '0x1', '3', '0x0']",E4
74,"Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), FOLLOWING (my state)",Notification n leader n zxid n round LOOKING n state n sid n peerEPoch FOLLOWING my state,15,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)","['3', '0x0', '0x1', '3', '0x0']",E4
75,"Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), FOLLOWING (my state)",Notification n leader n zxid n round LOOKING n state n sid n peerEPoch FOLLOWING my state,15,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)","['3', '0x0', '0x1', '3', '0x0']",E4
76,"Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), FOLLOWING (my state)",Notification n leader n zxid n round LOOKING n state n sid n peerEPoch FOLLOWING my state,15,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)","['3', '0x0', '0x1', '3', '0x0']",E4
77,Received connection request /10.10.34.11:45300,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45300']",E59
78,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
79,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
80,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
81,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
82,Received connection request /10.10.34.11:45303,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45303']",E59
83,Received connection request /10.10.34.11:45304,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45304']",E59
84,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
85,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
86,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
87,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
88,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
89,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
90,Received connection request /10.10.34.11:45305,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45305']",E59
91,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
92,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
93,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
94,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
95,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
96,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
97,Received connection request /10.10.34.11:45307,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45307']",E59
98,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
99,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
100,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
101,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
102,Received connection request /10.10.34.11:45311,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45311']",E59
103,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
104,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
105,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
106,Received connection request /10.10.34.11:45312,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45312']",E59
107,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
108,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
109,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
110,Received connection request /10.10.34.11:45313,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45313']",E59
111,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
112,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
113,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
114,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
115,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
116,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
117,Received connection request /10.10.34.11:45315,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45315']",E59
118,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
119,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
120,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
121,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
122,Received connection request /10.10.34.11:45319,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45319']",E59
123,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
124,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
125,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
126,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
127,Received connection request /10.10.34.11:45320,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45320']",E59
128,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
129,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
130,Received connection request /10.10.34.11:45321,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45321']",E59
131,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
132,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
133,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
134,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
135,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
136,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
137,Received connection request /10.10.34.11:45323,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45323']",E59
138,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
139,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
140,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
141,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
142,Received connection request /10.10.34.11:45327,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45327']",E59
143,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
144,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
145,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
146,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
147,Received connection request /10.10.34.11:45328,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45328']",E59
148,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
149,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
150,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
151,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
152,Received connection request /10.10.34.11:45329,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45329']",E59
153,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
154,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
155,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
156,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
157,Received connection request /10.10.34.11:45336,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45336']",E59
158,Received connection request /10.10.34.11:45338,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '11', '45338']",E59
159,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
160,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
161,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
162,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
163,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
164,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
165,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
166,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
167,Received connection request /10.10.34.12:47484,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '12', '47484']",E59
168,"Connection broken for id 188978561024, my id = 1, error =",Connection broken for id my id error,39,"Connection broken for id <*>, my id = <*>, error =","['188978561024', '1']",E28
169,Interrupting SendWorker,Interrupting SendWorker,40,Interrupting SendWorker,[],E62
170,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,41,Interrupted while waiting for message on queue,[],E20
171,Send worker leaving thread,Send worker leaving thread,42,Send worker leaving thread,[],E61
172,Received connection request /10.10.34.13:57700,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '13', '57700']",E59
173,Received connection request /10.10.34.13:57702,Received connection request,18,Received connection request /<*>.<*>.<*>.<*>:<*>,"['10', '10', '34', '13', '57702']",E59
