,Log,CleanLog,Cluster,Template,Variables,EventId
12,"proxy.cse.cuhk.edu.hk:5070 close, 1228 bytes (1.19 KB) sent, 0 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes KB sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*>.<*> KB) sent, <*> bytes received, lifetime <<*> sec","['5070', '1228', '1', '19', '0', '1']",E7
13,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
14,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
15,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
16,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
17,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
18,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
19,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
20,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
21,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
22,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
23,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
24,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
25,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
26,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
27,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
28,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
29,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",proxy cse cuhk edu hk close bytes sent bytes received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>:<*>","['5070', '0', '0', '00', '01']",E9
30,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",proxy cse cuhk edu hk close bytes sent bytes received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>:<*>","['5070', '0', '0', '00', '01']",E9
31,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",proxy cse cuhk edu hk close bytes sent bytes received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>:<*>","['5070', '0', '0', '00', '01']",E9
32,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",proxy cse cuhk edu hk close bytes sent bytes received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>:<*>","['5070', '0', '0', '00', '01']",E9
33,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",proxy cse cuhk edu hk close bytes sent bytes received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>:<*>","['5070', '0', '0', '00', '01']",E9
34,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",proxy cse cuhk edu hk close bytes sent bytes received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>:<*>","['5070', '0', '0', '00', '01']",E9
35,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",proxy cse cuhk edu hk close bytes sent bytes received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>:<*>","['5070', '0', '0', '00', '01']",E9
36,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",proxy cse cuhk edu hk close bytes sent bytes received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>:<*>","['5070', '0', '0', '00', '01']",E9
37,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
38,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
39,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
40,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
41,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
42,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
43,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
44,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
45,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
46,"proxy.cse.cuhk.edu.hk:5070 close, 403 bytes sent, 426 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <<*> sec","['5070', '403', '426', '1']",E9
47,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
48,"proxy.cse.cuhk.edu.hk:5070 close, 1036 bytes (1.01 KB) sent, 34151 bytes (33.3 KB) received, lifetime <1 sec",proxy cse cuhk edu hk close bytes KB sent bytes KB received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*>.<*> KB) sent, <*> bytes (<*>.<*> KB) received, lifetime <<*> sec","['5070', '1036', '1', '01', '34151', '33', '3', '1']",E6
49,"proxy.cse.cuhk.edu.hk:5070 close, 1040 bytes (1.01 KB) sent, 15872 bytes (15.5 KB) received, lifetime <1 sec",proxy cse cuhk edu hk close bytes KB sent bytes KB received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*>.<*> KB) sent, <*> bytes (<*>.<*> KB) received, lifetime <<*> sec","['5070', '1040', '1', '01', '15872', '15', '5', '1']",E6
50,"proxy.cse.cuhk.edu.hk:5070 close, 1066 bytes (1.04 KB) sent, 1782 bytes (1.74 KB) received, lifetime <1 sec",proxy cse cuhk edu hk close bytes KB sent bytes KB received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*>.<*> KB) sent, <*> bytes (<*>.<*> KB) received, lifetime <<*> sec","['5070', '1066', '1', '04', '1782', '1', '74', '1']",E6
51,"proxy.cse.cuhk.edu.hk:5070 close, 1060 bytes (1.03 KB) sent, 1633 bytes (1.59 KB) received, lifetime <1 sec",proxy cse cuhk edu hk close bytes KB sent bytes KB received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*>.<*> KB) sent, <*> bytes (<*>.<*> KB) received, lifetime <<*> sec","['5070', '1060', '1', '03', '1633', '1', '59', '1']",E6
52,"proxy.cse.cuhk.edu.hk:5070 close, 1091 bytes (1.06 KB) sent, 367 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes KB sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*>.<*> KB) sent, <*> bytes received, lifetime <<*> sec","['5070', '1091', '1', '06', '367', '1']",E7
53,"proxy.cse.cuhk.edu.hk:5070 close, 1097 bytes (1.07 KB) sent, 366 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes KB sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*>.<*> KB) sent, <*> bytes received, lifetime <<*> sec","['5070', '1097', '1', '07', '366', '1']",E7
54,"proxy.cse.cuhk.edu.hk:5070 close, 1052 bytes (1.02 KB) sent, 8362 bytes (8.16 KB) received, lifetime <1 sec",proxy cse cuhk edu hk close bytes KB sent bytes KB received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*>.<*> KB) sent, <*> bytes (<*>.<*> KB) received, lifetime <<*> sec","['5070', '1052', '1', '02', '8362', '8', '16', '1']",E6
55,"proxy.cse.cuhk.edu.hk:5070 close, 1124 bytes (1.09 KB) sent, 529 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes KB sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*>.<*> KB) sent, <*> bytes received, lifetime <<*> sec","['5070', '1124', '1', '09', '529', '1']",E7
56,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",proxy cse cuhk edu hk close bytes sent bytes received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>:<*>","['5070', '0', '0', '00', '01']",E9
57,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
58,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
59,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
60,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
61,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
62,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
63,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
64,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
65,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",proxy cse cuhk edu hk close bytes sent bytes received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>:<*>","['5070', '0', '0', '00', '01']",E9
66,"proxy.cse.cuhk.edu.hk:5070 close, 2134 bytes (2.08 KB) sent, 50768 bytes (49.5 KB) received, lifetime <1 sec",proxy cse cuhk edu hk close bytes KB sent bytes KB received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*>.<*> KB) sent, <*> bytes (<*>.<*> KB) received, lifetime <<*> sec","['5070', '2134', '2', '08', '50768', '49', '5', '1']",E6
67,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",proxy cse cuhk edu hk close bytes sent bytes received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>:<*>","['5070', '0', '0', '00', '01']",E9
68,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",proxy cse cuhk edu hk close bytes sent bytes received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>:<*>","['5070', '0', '0', '00', '01']",E9
69,"proxy.cse.cuhk.edu.hk:5070 close, 451 bytes sent, 18846 bytes (18.4 KB) received, lifetime <1 sec",proxy cse cuhk edu hk close bytes sent bytes KB received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes (<*>.<*> KB) received, lifetime <<*> sec","['5070', '451', '18846', '18', '4', '1']",E8
70,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
71,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
72,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
73,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
74,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
75,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
76,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",proxy cse cuhk edu hk close bytes sent bytes received lifetime sec,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <<*> sec","['5070', '0', '0', '1']",E9
77,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
78,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",proxy cse cuhk edu hk close bytes sent bytes received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>:<*>","['5070', '0', '0', '00', '01']",E9
79,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
80,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",proxy cse cuhk edu hk close bytes sent bytes received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>:<*>","['5070', '0', '0', '00', '01']",E9
81,"proxy.cse.cuhk.edu.hk:5070 close, 420 bytes sent, 1042 bytes (1.01 KB) received, lifetime 00:01",proxy cse cuhk edu hk close bytes sent bytes KB received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes (<*>.<*> KB) received, lifetime <*>:<*>","['5070', '420', '1042', '1', '01', '00', '01']",E8
82,"proxy.cse.cuhk.edu.hk:5070 close, 1088 bytes (1.06 KB) sent, 3383 bytes (3.30 KB) received, lifetime 00:01",proxy cse cuhk edu hk close bytes KB sent bytes KB received lifetime,0,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*>.<*> KB) sent, <*> bytes (<*>.<*> KB) received, lifetime <*>:<*>","['5070', '1088', '1', '06', '3383', '3', '30', '00', '01']",E6
83,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxy cse cuhk edu hk open through proxy proxy cse cuhk edu hk HTTPS,1,proxy.cse.cuhk.edu.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,"['5070', '5070']",E11
